"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","01","Domestic","08","Other reasons","Thousand","229"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","02","Outbound","-","All reasons for journey","Thousand","1220"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","02","Outbound","01","Holiday","Thousand","662"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","02","Outbound","02","Business","Thousand","171"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","02","Outbound","03","Visiting friends/relatives","Thousand","304"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","02","Outbound","08","Other reasons","Thousand","83"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","01","Domestic","-","All reasons for journey","Thousand","1490"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","01","Domestic","01","Holiday","Thousand","575"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","01","Domestic","02","Business","Thousand","191"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","01","Domestic","03","Visiting friends/relatives","Thousand","560"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","01","Domestic","08","Other reasons","Thousand","165"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","02","Outbound","-","All reasons for journey","Thousand","1212"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","02","Outbound","01","Holiday","Thousand","716"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","02","Outbound","02","Business","Thousand","180"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","02","Outbound","03","Visiting friends/relatives","Thousand","227"
"HTQ01C1","Number of Trips by Irish Residents","2005Q1","2005Q1","02","Outbound","08","Other reasons","Thousand","90"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","01","Domestic","-","All reasons for journey","Thousand","1705"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","01","Domestic","01","Holiday","Thousand","781"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","01","Domestic","02","Business","Thousand","196"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","01","Domestic","03","Visiting friends/relatives","Thousand","497"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","01","Domestic","08","Other reasons","Thousand","231"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","02","Outbound","-","All reasons for journey","Thousand","1661"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","02","Outbound","01","Holiday","Thousand","1074"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","02","Outbound","02","Business","Thousand","218"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","02","Outbound","03","Visiting friends/relatives","Thousand","252"
"HTQ01C1","Number of Trips by Irish Residents","2005Q2","2005Q2","02","Outbound","08","Other reasons","Thousand","117"
"HTQ01C1","Number of Trips by Irish Residents","2005Q3","2005Q3","01","Domestic","-","All reasons for journey","Thousand","2300"
"HTQ01C1","Number of Trips by Irish Residents","2005Q3","2005Q3","01","Domestic","01","Holiday","Thousand","1332"
"HTQ01C1","Number of Trips by Irish Residents","2005Q3","2005Q3","01","Domestic","02","Business","Thousand","145"
"HTQ01C1","Number of Trips by Irish Residents","2005Q3","2005Q3","01","Domestic","03","Visiting friends/relatives","Thousand","551"
